#{"t_start": 1630088085.8697362, "env_id": null}
r,l,t
-202867.994552,300,3.010413
-27222.490969,300,3.355603
-1130012.497305,300,3.722569
-125046.512839,300,4.116782
-152710.002632,300,4.517351
-195617.238066,300,4.915347
-1283968.01111,300,5.375514
-893818.415385,300,5.889368
-878551.251621,300,6.252659
-219080.354376,300,6.625103
-1127280.718752,300,7.015977
-30066.30847,300,7.673918
-719919.815918,300,8.101253
-330767.525853,300,8.477255
-24640.351608,300,8.823099
-474842.131355,300,9.185688
-247457.853613,300,9.537604
-108856.838641,300,9.903409
-212918.953071,300,10.27103
-688023.609029,300,10.640938
-36871.640037,300,11.072148
-283953.485511,300,11.491466
-281325.703759,300,11.850186
-369753.94746,300,12.149615
-359652.005723,300,12.44701
-627544.776601,300,12.73316
-147510.096055,300,13.019899
-320650.817932,300,13.307042
-95652.028875,300,13.597214
-2113080.973989,300,13.885562
-311607.218257,300,14.184316
-539561.083128,300,14.474356
-303450.253345,300,14.763088
-374424.365941,300,15.052511
-26795.898653,300,15.340172
-178768.783953,300,15.630206
-339802.999171,300,15.919872
-460722.640832,300,16.214301
-304247.686692,300,16.501194
-468958.885017,300,16.787249
-160298.360058,300,17.078843
-1473746.369997,300,17.424024
-189704.82384,300,17.707954
-112242.273414,300,17.995678
-575620.048754,300,18.282023
-440616.787336,300,18.568554
-49134.678312,300,18.851905
-179037.47674,300,19.137274
-92435.963136,300,19.434831
-373260.511753,300,19.717151
-165204.687529,300,20.002574
-194619.467792,300,20.28956
-29093.550908,300,20.577732
-571229.161072,300,20.864175
-406661.110995,300,21.147493
-1101425.650173,300,21.432572
-640496.928394,300,21.713188
-283540.537268,300,21.998694
-243010.381012,300,22.280572
-547366.017393,300,22.560014
-103284.435498,300,22.844351
-299375.962647,300,23.130611
-806512.835476,300,23.419247
-126097.634321,300,23.702029
-55121.280464,300,23.984634
-136329.0128,300,24.267223
-655263.449658,300,24.550345
-249180.625142,300,24.834828
-662487.953977,300,25.123157
-74779.905375,300,25.414613
-501906.546135,300,25.695792
-87246.660472,300,25.982858
-171524.514326,300,26.270614
-952921.155566,300,26.551979
-155405.297028,300,26.832213
-305037.619452,300,27.113084
-84581.189626,300,27.396842
-321432.069776,300,27.684676
-169474.4583,300,27.968586
-1258165.42344,300,28.249778
-453699.783979,300,28.529797
-197886.579244,300,28.821189
-251077.415922,300,29.113113
-141660.929925,300,29.463032
-226906.183168,300,29.746316
-173380.083065,300,30.033277
-149738.944682,300,30.326354
-132268.805982,300,30.620606
-247213.865444,300,30.904685
-509012.318193,300,31.195259
-351887.013401,300,31.480467
-115297.32839,300,31.771262
-308653.030167,300,32.05402
-100041.28307,300,32.340903
-108683.118343,300,32.635519
-799743.604615,300,32.919265
-198217.940298,300,33.206399
-242571.138539,300,33.49562
-59512.422816,300,33.780434
-382503.901522,300,34.066052
-80398.000248,300,34.502181
-651020.662826,300,35.107701
-211503.153334,300,35.791507
-532501.921583,300,36.354999
-128315.21587,300,36.931459
-1182945.764964,300,37.373655
